horizon,lookback,d_model,num_encoder_layers,dim_ff,dropout,learning_rate,validation_rmse,time_taken_seconds,rank_val_rmse
48,336,512,5,2048,0.0,5e-06,406.14,206.4,1
48,720,128,3,256,0.0,5e-06,411.97,63.13,2
48,336,128,3,256,0.0,5e-06,413.64,48.54,3
48,720,512,5,2048,0.0,5e-06,414.71,436.48,4
48,336,128,3,256,0.2,0.0001,460.45,48.62,5
48,336,512,5,2048,0.2,0.0001,461.2,211.94,6
48,720,128,3,256,0.2,0.0001,461.23,64.94,7
48,720,512,5,2048,0.2,0.0001,470.61,448.61,8
336,336,512,5,2048,0.0,5e-06,597.3,207.74,1
336,720,512,5,2048,0.0,5e-06,602.79,441.29,2
336,720,128,3,256,0.0,5e-06,604.32,64.53,3
336,336,128,3,256,0.0,5e-06,609.56,48.75,4
336,336,512,5,2048,0.2,0.0001,632.83,213.45,5
336,336,128,3,256,0.2,0.0001,640.48,50.98,6
336,720,128,3,256,0.2,0.0001,648.63,65.56,7
336,720,512,5,2048,0.2,0.0001,664.69,453.43,8
720,336,128,3,256,0.0,5e-06,634.88,50.39,1
720,336,512,5,2048,0.0,5e-06,634.96,211.5,2
720,720,128,3,256,0.0,5e-06,642.92,66.84,3
720,720,512,5,2048,0.0,5e-06,648.35,447.51,4
720,336,512,5,2048,0.2,0.0001,671.7,217.2,5
720,720,128,3,256,0.2,0.0001,672.81,67.88,6
720,336,128,3,256,0.2,0.0001,673.36,53.56,7
720,720,512,5,2048,0.2,0.0001,692.7,460.1,8
