epoch,train_loss,val_loss,val_rmse,best_epoch,early_stop_epoch,num_parameters,model_type,target_col,used_log_target,all_feature_cols,scale,horizon,lookback,target_lags,target_mas,feature_lags,step_size,forecast_last_step_only,hidden_size,num_layers,dropout,learning_rate,use_mlp_head,mlp_hidden_size,num_attention_heads,seed
1,0.9294209524139839,0.6368414759635925,1067.1627277384214,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
2,0.6513209363030646,0.5654619932174683,1010.3017319134175,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
3,0.5134926456398297,0.4930538833141327,943.3454720804642,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
4,0.42688104036249647,0.42298758029937744,873.5440076985167,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
5,0.3812629718391389,0.39901819825172424,850.1658974278979,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
6,0.36473709469940996,0.3883170187473297,839.0917042448604,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
7,0.35540492676700336,0.3860945701599121,837.0697230364635,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
8,0.3478782250164704,0.3781680762767792,827.9104052643974,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
9,0.34172273849576246,0.3777671158313751,827.1784335620973,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
10,0.335289834215851,0.3710043132305145,822.7927947079377,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
11,0.33011270332212894,0.3702464699745178,821.9673682668889,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
12,0.32718797363147833,0.37695425748825073,826.409898332716,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
13,0.32122207336475195,0.3648553788661957,812.8931861616677,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
14,0.31728241097741794,0.36265572905540466,810.2663174671815,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
15,0.3141939242269091,0.3572724759578705,806.5568090654774,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
16,0.3102420129229368,0.359271764755249,806.2147943269674,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
17,0.3071704596589884,0.3593771159648895,806.1134230190553,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
18,0.30693329429070565,0.3544185161590576,802.8116297607503,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
19,0.3075474903450729,0.34423357248306274,791.0455927108497,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
20,0.30104493202323124,0.354876309633255,802.4249815299606,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
21,0.2982579881817566,0.3642299473285675,821.9531756151478,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
22,0.29432366136751026,0.34919071197509766,794.8792474572996,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
23,0.2973005221143288,0.34736576676368713,793.5621984942937,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
24,0.29803134584365115,0.35039523243904114,796.5939777696792,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
25,0.28882021313349815,0.3499985933303833,795.5722957132413,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
26,0.2862033404139657,0.3502267003059387,796.7874669265618,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
27,0.2840717625664306,0.34930849075317383,797.2184862953455,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
28,0.28112216639704035,0.34846100211143494,795.1627346921921,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
29,0.27880845133195886,0.34902796149253845,793.3390375937901,19,29,595728,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
