model,horizon,rmse,rmse,rmse,mae,mae,mae,rmse,rmse,mae,mae
,,mean,std,size,mean,std,size,CI_lower,CI_upper,CI_lower,CI_upper
Gradient Boosting,48,536.34,0.01,6,380.49,0.01,6,536.33,536.35,380.48,380.51
Gradient Boosting,336,655.67,0.12,6,471.72,0.16,6,655.54,655.8,471.55,471.89
Gradient Boosting,720,690.82,0.17,6,498.17,0.17,6,690.65,691.0,497.99,498.34
LSTM,48,564.98,20.86,6,402.08,13.51,6,543.09,586.88,387.9,416.27
LSTM,336,790.94,17.1,6,574.38,16.85,6,772.99,808.88,556.7,592.06
LSTM,720,858.99,13.24,6,635.97,10.64,6,845.1,872.88,624.81,647.13
PATCHTST,48,468.07,3.87,6,308.63,2.72,6,464.01,472.13,305.77,311.48
PATCHTST,336,637.35,15.0,6,445.23,14.99,6,621.61,653.09,429.5,460.96
PATCHTST,720,694.99,19.41,6,496.41,18.38,6,674.62,715.36,477.11,515.7
SARIMAX,48,544.65,,1,367.25,,1,,,,
SARIMAX,336,650.79,,1,454.65,,1,,,,
SARIMAX,720,667.58,,1,471.88,,1,,,,
